time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-08-14T21:10:35.090Z,37.8597,93.6677,10,5,mb,151,38,8.255,0.47,us,us6000iav9,2022-10-28T02:25:59.040Z,"northern Qinghai, China",earthquake,7.65,1.714,0.051,123,reviewed,us,us
2022-08-14T08:20:00.340Z,33.1157,92.7977,5,5.7,mww,191,25,8.375,0.47,us,us6000iaqi,2022-10-28T02:25:50.040Z,"194 km NNE of Nagqu, China",earthquake,7.45,1.83,0.098,10,reviewed,us,us
2022-08-12T08:09:47.048Z,36.5038,71.0949,143.445,4.6,mb,65,73,0.747,0.47,us,us6000ia62,2022-10-21T23:20:55.040Z,"",earthquake,7.03,3.579,0.077,51,reviewed,us,us
2022-08-11T03:59:45.585Z,40.1038,77.7562,10,4.5,mb,45,72,1.624,0.67,us,us6000i9v9,2022-10-21T23:20:25.040Z,"166 km ENE of Kashgar, China",earthquake,6.03,1.592,0.128,20,reviewed,us,us
2022-08-08T07:45:34.524Z,35.0375,59.839,10,4.5,mb,64,80,7.589,0.44,us,us6000i90u,2022-10-21T23:19:09.040Z,"62 km ESE of Torbat-e ?eydar?yeh, Iran",earthquake,8.76,1.896,0.087,39,reviewed,us,us
2022-08-07T15:44:30.673Z,10.2856,93.8306,10.349,4.6,mb,49,73,1.73,0.53,us,us6000i8wu,2022-10-21T23:18:51.040Z,"193 km SE of Port Blair, India",earthquake,5.73,3.75,0.105,30,reviewed,us,us
2022-08-05T13:28:14.193Z,39.5635,74.4926,10,4.5,mb,65,94,2.873,0.53,us,us6000i8dh,2022-10-12T14:50:54.040Z,"129 km W of Kashgar, China",earthquake,4.11,1.876,0.065,70,reviewed,us,us
2022-08-04T19:08:10.347Z,36.4812,71.3235,98.864,4.6,mb,157,48,0.88,0.69,us,us6000i84m,2022-10-12T14:50:39.040Z,"Afghanistan-Tajikistan-Pakistan region",earthquake,5.82,5.511,0.041,175,reviewed,us,us
2022-07-31T13:52:17.244Z,25.1097,63.4765,16.727,5.1,mb,74,44,6.599,0.51,us,us6000i6z0,2022-10-12T14:49:13.040Z,"17 km S of Pasni, Pakistan",earthquake,6.67,4.116,0.043,184,reviewed,us,us
2022-07-31T13:42:15.318Z,25.1448,63.5694,27.11,5.6,mww,108,44,6.683,0.62,us,us6000i6yz,2022-10-12T14:49:13.040Z,"16 km SE of Pasni, Pakistan",earthquake,8.75,4.173,0.06,27,reviewed,us,us
2022-07-31T02:28:08.777Z,27.1316,86.7827,10,5.1,mb,106,51,1.493,0.7,us,us6000i6vr,2022-10-12T14:49:01.040Z,"26 km W of Bhojpur, Nepal",earthquake,6.84,1.776,0.037,232,reviewed,us,us
2022-07-28T19:26:46.105Z,23.3819,82.5056,9.957,4.7,mb,66,92,5.062,0.69,us,us6000i69p,2022-10-01T22:09:27.040Z,"14 km NNW of Baikunthpur, India",earthquake,9.74,4.111,0.056,111,reviewed,us,us
2022-07-26T20:37:18.652Z,36.4291,70.591,216.706,4.9,mww,179,20,0.695,0.74,us,us6000i5pp,2022-10-01T22:09:20.040Z,"53 km SSW of Jurm, Afghanistan",earthquake,6.65,4.2,0.098,10,reviewed,us,us
2022-07-26T15:13:43.440Z,23.5693,93.2709,42.7,4.6,mb,72,56,1.742,0.57,us,us7000htji,2022-10-01T22:09:55.040Z,"25 km NE of Khawhai, India",earthquake,7.89,6.553,0.074,57,reviewed,us,us
2022-07-26T09:34:04.587Z,15.1251,59.4649,10,5,mb,182,42,10.238,0.48,us,us7000hti9,2022-10-01T22:09:53.040Z,"Owen Fracture Zone region",earthquake,8.56,1.817,0.044,167,reviewed,us,us
